"StichtagDatJahr","QuarSort","QuarCd","QuarLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
1999,11,"011","Rathaus",0,"00","Grundtarif",20,0,150
1999,11,"011","Rathaus",1,"01","Verheiratetentarif",196,30,794
1999,11,"011","Rathaus",2,"02","Einelternfamilientarif",24,0,406
1999,12,"012","Hochschulen",0,"00","Grundtarif",28.5,0,186
1999,12,"012","Hochschulen",1,"01","Verheiratetentarif",236,41,711
1999,12,"012","Hochschulen",2,"02","Einelternfamilientarif",,,
1999,13,"013","Lindenhof",0,"00","Grundtarif",57,2,322
1999,13,"013","Lindenhof",1,"01","Verheiratetentarif",307,32,1480
1999,13,"013","Lindenhof",2,"02","Einelternfamilientarif",,,
1999,14,"014","City",0,"00","Grundtarif",13,0,97
1999,14,"014","City",1,"01","Verheiratetentarif",44,0,268
1999,14,"014","City",2,"02","Einelternfamilientarif",,,
1999,21,"021","Wollishofen",0,"00","Grundtarif",39,4,185
1999,21,"021","Wollishofen",1,"01","Verheiratetentarif",139.5,35,427.5
1999,21,"021","Wollishofen",2,"02","Einelternfamilientarif",6,0,52
1999,23,"023","Leimbach",0,"00","Grundtarif",31,2,138
1999,23,"023","Leimbach",1,"01","Verheiratetentarif",120,25.5,370
1999,23,"023","Leimbach",2,"02","Einelternfamilientarif",11,0,58.5
1999,24,"024","Enge",0,"00","Grundtarif",38,1,212
1999,24,"024","Enge",1,"01","Verheiratetentarif",201,34,726.3
1999,24,"024","Enge",2,"02","Einelternfamilientarif",9,0,99
1999,31,"031","Alt-Wiedikon",0,"00","Grundtarif",23,0,114
1999,31,"031","Alt-Wiedikon",1,"01","Verheiratetentarif",63,0,265
1999,31,"031","Alt-Wiedikon",2,"02","Einelternfamilientarif",1,0,43
1999,33,"033","Friesenberg",0,"00","Grundtarif",21,0,96
1999,33,"033","Friesenberg",1,"01","Verheiratetentarif",77,13,207
1999,33,"033","Friesenberg",2,"02","Einelternfamilientarif",2,0,39
1999,34,"034","Sihlfeld",0,"00","Grundtarif",14,0,85
1999,34,"034","Sihlfeld",1,"01","Verheiratetentarif",39,0,186
1999,34,"034","Sihlfeld",2,"02","Einelternfamilientarif",0,0,22
1999,41,"041","Werd",0,"00","Grundtarif",10,0,67
1999,41,"041","Werd",1,"01","Verheiratetentarif",15,0,149
1999,41,"041","Werd",2,"02","Einelternfamilientarif",0,0,28.5
1999,42,"042","Langstrasse",0,"00","Grundtarif",2,0,39
1999,42,"042","Langstrasse",1,"01","Verheiratetentarif",5,0,95
1999,42,"042","Langstrasse",2,"02","Einelternfamilientarif",0,0,9
1999,44,"044","Hard",0,"00","Grundtarif",8,0,59
1999,44,"044","Hard",1,"01","Verheiratetentarif",9,0,94
1999,44,"044","Hard",2,"02","Einelternfamilientarif",0,0,12
1999,51,"051","Gewerbeschule",0,"00","Grundtarif",6,0,50
1999,51,"051","Gewerbeschule",1,"01","Verheiratetentarif",13,0,103.5
1999,51,"051","Gewerbeschule",2,"02","Einelternfamilientarif",0,0,23
1999,52,"052","Escher Wyss",0,"00","Grundtarif",9,0,67
1999,52,"052","Escher Wyss",1,"01","Verheiratetentarif",40.5,0,211
1999,52,"052","Escher Wyss",2,"02","Einelternfamilientarif",9.5,0,88
1999,61,"061","Unterstrass",0,"00","Grundtarif",35,2,151
1999,61,"061","Unterstrass",1,"01","Verheiratetentarif",116,20,342
1999,61,"061","Unterstrass",2,"02","Einelternfamilientarif",10,0,65
1999,63,"063","Oberstrass",0,"00","Grundtarif",46,4,222
1999,63,"063","Oberstrass",1,"01","Verheiratetentarif",249,48,879
1999,63,"063","Oberstrass",2,"02","Einelternfamilientarif",40,2,210
1999,71,"071","Fluntern",0,"00","Grundtarif",70,7,438
1999,71,"071","Fluntern",1,"01","Verheiratetentarif",474,105,1766
1999,71,"071","Fluntern",2,"02","Einelternfamilientarif",81.5,6,327
1999,72,"072","Hottingen",0,"00","Grundtarif",49,4,276
1999,72,"072","Hottingen",1,"01","Verheiratetentarif",288,61.5,1099
1999,72,"072","Hottingen",2,"02","Einelternfamilientarif",30,0,156
1999,73,"073","Hirslanden",0,"00","Grundtarif",44,6,211
1999,73,"073","Hirslanden",1,"01","Verheiratetentarif",220,51,807
1999,73,"073","Hirslanden",2,"02","Einelternfamilientarif",23,0,105
1999,74,"074","Witikon",0,"00","Grundtarif",77,10,360
1999,74,"074","Witikon",1,"01","Verheiratetentarif",297,82,928
1999,74,"074","Witikon",2,"02","Einelternfamilientarif",35,0,189
1999,81,"081","Seefeld",0,"00","Grundtarif",34,0,180
1999,81,"081","Seefeld",1,"01","Verheiratetentarif",163.5,34,538
1999,81,"081","Seefeld",2,"02","Einelternfamilientarif",18,0,89
1999,82,"082","Mühlebach",0,"00","Grundtarif",34,2,167
1999,82,"082","Mühlebach",1,"01","Verheiratetentarif",188,28,608
1999,82,"082","Mühlebach",2,"02","Einelternfamilientarif",20,0,108
1999,83,"083","Weinegg",0,"00","Grundtarif",38,2,222
1999,83,"083","Weinegg",1,"01","Verheiratetentarif",189,24,813
1999,83,"083","Weinegg",2,"02","Einelternfamilientarif",6,0,129
1999,91,"091","Albisrieden",0,"00","Grundtarif",34,2,151
1999,91,"091","Albisrieden",1,"01","Verheiratetentarif",124,24,349
1999,91,"091","Albisrieden",2,"02","Einelternfamilientarif",6,0,44
1999,92,"092","Altstetten",0,"00","Grundtarif",16,0,94
1999,92,"092","Altstetten",1,"01","Verheiratetentarif",59,0,212
1999,92,"092","Altstetten",2,"02","Einelternfamilientarif",0,0,19
1999,101,"101","Höngg",0,"00","Grundtarif",49,5,226
1999,101,"101","Höngg",1,"01","Verheiratetentarif",165,37,494
1999,101,"101","Höngg",2,"02","Einelternfamilientarif",17,0,93.5
1999,102,"102","Wipkingen",0,"00","Grundtarif",22,0,103
1999,102,"102","Wipkingen",1,"01","Verheiratetentarif",70,0,271
1999,102,"102","Wipkingen",2,"02","Einelternfamilientarif",6,0,39
1999,111,"111","Affoltern",0,"00","Grundtarif",17,0,90
1999,111,"111","Affoltern",1,"01","Verheiratetentarif",78,8,234
1999,111,"111","Affoltern",2,"02","Einelternfamilientarif",3,0,44
1999,115,"115","Oerlikon",0,"00","Grundtarif",23,0,122
1999,115,"115","Oerlikon",1,"01","Verheiratetentarif",92,4,342
1999,115,"115","Oerlikon",2,"02","Einelternfamilientarif",5,0,54
1999,119,"119","Seebach",0,"00","Grundtarif",15,0,94
1999,119,"119","Seebach",1,"01","Verheiratetentarif",67,0,224
1999,119,"119","Seebach",2,"02","Einelternfamilientarif",0,0,20
1999,121,"121","Saatlen",0,"00","Grundtarif",13,0,68
1999,121,"121","Saatlen",1,"01","Verheiratetentarif",43,0,148
1999,121,"121","Saatlen",2,"02","Einelternfamilientarif",1,0,22
1999,122,"122","Schwamendingen-Mitte",0,"00","Grundtarif",16,0,88
1999,122,"122","Schwamendingen-Mitte",1,"01","Verheiratetentarif",52,0,208
1999,122,"122","Schwamendingen-Mitte",2,"02","Einelternfamilientarif",0,0,17
1999,123,"123","Hirzenbach",0,"00","Grundtarif",17,0,70
1999,123,"123","Hirzenbach",1,"01","Verheiratetentarif",53.5,2,186
1999,123,"123","Hirzenbach",2,"02","Einelternfamilientarif",1,0,21
2000,11,"011","Rathaus",0,"00","Grundtarif",20.5,0,149
2000,11,"011","Rathaus",1,"01","Verheiratetentarif",210.5,32,782
2000,11,"011","Rathaus",2,"02","Einelternfamilientarif",56.5,4,394
2000,12,"012","Hochschulen",0,"00","Grundtarif",33,0,180
2000,12,"012","Hochschulen",1,"01","Verheiratetentarif",275,68,956
2000,12,"012","Hochschulen",2,"02","Einelternfamilientarif",,,
2000,13,"013","Lindenhof",0,"00","Grundtarif",66,4,315
2000,13,"013","Lindenhof",1,"01","Verheiratetentarif",306,31,1362
2000,13,"013","Lindenhof",2,"02","Einelternfamilientarif",,,
2000,14,"014","City",0,"00","Grundtarif",12,0,94
2000,14,"014","City",1,"01","Verheiratetentarif",50,3,232
2000,14,"014","City",2,"02","Einelternfamilientarif",,,
2000,21,"021","Wollishofen",0,"00","Grundtarif",40,5,195
2000,21,"021","Wollishofen",1,"01","Verheiratetentarif",144,32,433
2000,21,"021","Wollishofen",2,"02","Einelternfamilientarif",8,0,64
2000,23,"023","Leimbach",0,"00","Grundtarif",30,2,143
2000,23,"023","Leimbach",1,"01","Verheiratetentarif",116,20,393
2000,23,"023","Leimbach",2,"02","Einelternfamilientarif",8,0,54
2000,24,"024","Enge",0,"00","Grundtarif",39,1,215
2000,24,"024","Enge",1,"01","Verheiratetentarif",201,32,743
2000,24,"024","Enge",2,"02","Einelternfamilientarif",7,0,113
2000,31,"031","Alt-Wiedikon",0,"00","Grundtarif",23,0,113
2000,31,"031","Alt-Wiedikon",1,"01","Verheiratetentarif",63,0,280
2000,31,"031","Alt-Wiedikon",2,"02","Einelternfamilientarif",1,0,50
2000,33,"033","Friesenberg",0,"00","Grundtarif",21,0,98
2000,33,"033","Friesenberg",1,"01","Verheiratetentarif",77,10,209
2000,33,"033","Friesenberg",2,"02","Einelternfamilientarif",6,0,37
2000,34,"034","Sihlfeld",0,"00","Grundtarif",16,0,87
2000,34,"034","Sihlfeld",1,"01","Verheiratetentarif",34.5,0,187
2000,34,"034","Sihlfeld",2,"02","Einelternfamilientarif",0,0,22
2000,41,"041","Werd",0,"00","Grundtarif",13,0,71
2000,41,"041","Werd",1,"01","Verheiratetentarif",16,0,140
2000,41,"041","Werd",2,"02","Einelternfamilientarif",0,0,34
2000,42,"042","Langstrasse",0,"00","Grundtarif",4,0,39
2000,42,"042","Langstrasse",1,"01","Verheiratetentarif",6,0,90
2000,42,"042","Langstrasse",2,"02","Einelternfamilientarif",0,0,16
2000,44,"044","Hard",0,"00","Grundtarif",8,0,56
2000,44,"044","Hard",1,"01","Verheiratetentarif",9,0,86
2000,44,"044","Hard",2,"02","Einelternfamilientarif",0,0,11
2000,51,"051","Gewerbeschule",0,"00","Grundtarif",8,0,54
2000,51,"051","Gewerbeschule",1,"01","Verheiratetentarif",15.5,0,106
2000,51,"051","Gewerbeschule",2,"02","Einelternfamilientarif",0,0,29
2000,52,"052","Escher Wyss",0,"00","Grundtarif",12,0,74
2000,52,"052","Escher Wyss",1,"01","Verheiratetentarif",32,0,218
2000,52,"052","Escher Wyss",2,"02","Einelternfamilientarif",1.5,0,78
2000,61,"061","Unterstrass",0,"00","Grundtarif",34,2,155
2000,61,"061","Unterstrass",1,"01","Verheiratetentarif",115,18,346
2000,61,"061","Unterstrass",2,"02","Einelternfamilientarif",11,0,67
2000,63,"063","Oberstrass",0,"00","Grundtarif",47,5,222.5
2000,63,"063","Oberstrass",1,"01","Verheiratetentarif",260,57,921
2000,63,"063","Oberstrass",2,"02","Einelternfamilientarif",65.5,6,235.5
2000,71,"071","Fluntern",0,"00","Grundtarif",74,8,447
2000,71,"071","Fluntern",1,"01","Verheiratetentarif",524,125,1875
2000,71,"071","Fluntern",2,"02","Einelternfamilientarif",73,6,267
2000,72,"072","Hottingen",0,"00","Grundtarif",49,5,270
2000,72,"072","Hottingen",1,"01","Verheiratetentarif",295,67,1133
2000,72,"072","Hottingen",2,"02","Einelternfamilientarif",29,0,196
2000,73,"073","Hirslanden",0,"00","Grundtarif",45,7,218
2000,73,"073","Hirslanden",1,"01","Verheiratetentarif",229,52.5,844.5
2000,73,"073","Hirslanden",2,"02","Einelternfamilientarif",22,0,116
2000,74,"074","Witikon",0,"00","Grundtarif",76,11,362
2000,74,"074","Witikon",1,"01","Verheiratetentarif",292.5,79,964
2000,74,"074","Witikon",2,"02","Einelternfamilientarif",40,0,178
2000,81,"081","Seefeld",0,"00","Grundtarif",35,2,195
2000,81,"081","Seefeld",1,"01","Verheiratetentarif",199,34,558
2000,81,"081","Seefeld",2,"02","Einelternfamilientarif",34.5,0,118
2000,82,"082","Mühlebach",0,"00","Grundtarif",38,2,176
2000,82,"082","Mühlebach",1,"01","Verheiratetentarif",195,44,626
2000,82,"082","Mühlebach",2,"02","Einelternfamilientarif",30,1,147
2000,83,"083","Weinegg",0,"00","Grundtarif",41.5,4,235.5
2000,83,"083","Weinegg",1,"01","Verheiratetentarif",188,22,816
2000,83,"083","Weinegg",2,"02","Einelternfamilientarif",21,0,136
2000,91,"091","Albisrieden",0,"00","Grundtarif",34,2,154
2000,91,"091","Albisrieden",1,"01","Verheiratetentarif",126,24,355
2000,91,"091","Albisrieden",2,"02","Einelternfamilientarif",9,0,55.5
2000,92,"092","Altstetten",0,"00","Grundtarif",16,0,95
2000,92,"092","Altstetten",1,"01","Verheiratetentarif",55,0,213
2000,92,"092","Altstetten",2,"02","Einelternfamilientarif",0,0,21
2000,101,"101","Höngg",0,"00","Grundtarif",49,5,228
2000,101,"101","Höngg",1,"01","Verheiratetentarif",174,39,522.5
2000,101,"101","Höngg",2,"02","Einelternfamilientarif",16,0,85
2000,102,"102","Wipkingen",0,"00","Grundtarif",22.83,0,100
2000,102,"102","Wipkingen",1,"01","Verheiratetentarif",67,0,275
2000,102,"102","Wipkingen",2,"02","Einelternfamilientarif",6,0,43
2000,111,"111","Affoltern",0,"00","Grundtarif",16,0,85
2000,111,"111","Affoltern",1,"01","Verheiratetentarif",78,6,241
2000,111,"111","Affoltern",2,"02","Einelternfamilientarif",4,0,39
2000,115,"115","Oerlikon",0,"00","Grundtarif",23,0,119
2000,115,"115","Oerlikon",1,"01","Verheiratetentarif",88,5,333
2000,115,"115","Oerlikon",2,"02","Einelternfamilientarif",6,0,53.5
2000,119,"119","Seebach",0,"00","Grundtarif",15,0,91
2000,119,"119","Seebach",1,"01","Verheiratetentarif",61,0,232
2000,119,"119","Seebach",2,"02","Einelternfamilientarif",0,0,23
2000,121,"121","Saatlen",0,"00","Grundtarif",14,0,65
2000,121,"121","Saatlen",1,"01","Verheiratetentarif",40,0,153
2000,121,"121","Saatlen",2,"02","Einelternfamilientarif",2,0,23
2000,122,"122","Schwamendingen-Mitte",0,"00","Grundtarif",14.52,0,86
2000,122,"122","Schwamendingen-Mitte",1,"01","Verheiratetentarif",55,0,208
2000,122,"122","Schwamendingen-Mitte",2,"02","Einelternfamilientarif",0,0,19
2000,123,"123","Hirzenbach",0,"00","Grundtarif",16,0,74
2000,123,"123","Hirzenbach",1,"01","Verheiratetentarif",51,0,183
2000,123,"123","Hirzenbach",2,"02","Einelternfamilientarif",0,0,20
2001,11,"011","Rathaus",0,"00","Grundtarif",23,0,141.5
2001,11,"011","Rathaus",1,"01","Verheiratetentarif",213.5,35,779
2001,11,"011","Rathaus",2,"02","Einelternfamilientarif",48,3,326
2001,12,"012","Hochschulen",0,"00","Grundtarif",36,0,205
2001,12,"012","Hochschulen",1,"01","Verheiratetentarif",286,57,1052
2001,12,"012","Hochschulen",2,"02","Einelternfamilientarif",,,
2001,13,"013","Lindenhof",0,"00","Grundtarif",55,5,302
2001,13,"013","Lindenhof",1,"01","Verheiratetentarif",311.5,61.5,1268.5
